new_id,split,crop_name,source_image_id,source_transition,scale_factor,crop_width,crop_height,refined_width,refined_height,texture_a,texture_b,image_name,label_a_name,label_b_name,valid_fraction,overlap_fraction,void_fraction
0,validation,validation_ADE_val_00000233_t0_crop0,validation_ADE_val_00000233,validation_ADE_val_00000233_t0,2,256,176,512,352,rough weathered stone with visible cracks,dense green grass with scattered shadows,0.png,0.png,0.png,1.0,0.0,0.0
1,validation,validation_ADE_val_00000233_t1_crop0,validation_ADE_val_00000233,validation_ADE_val_00000233_t1,2,92,116,184,232,rough weathered stone with visible cracks,smooth wet sandy ground with ripples,1.png,1.png,1.png,1.0,0.0,0.0
2,validation,validation_ADE_val_00000345_t0_crop0,validation_ADE_val_00000345,validation_ADE_val_00000345_t0,2,109,64,218,128,dense green grass with scattered shadows,gravel path with coarse dark stones,2.png,2.png,2.png,1.0,0.0,0.0
3,validation,validation_ADE_val_00000345_t0_crop1,validation_ADE_val_00000345,validation_ADE_val_00000345_t0,2,114,222,228,444,dense green grass with scattered shadows,gravel path with coarse dark stones,3.png,3.png,3.png,1.0,0.0,0.0
4,validation,validation_ADE_val_00000389_t1_crop0,validation_ADE_val_00000389,validation_ADE_val_00000389_t1,2,104,64,208,128,dense green grass with scattered shadows,smooth dark blue water surface,4.png,4.png,4.png,1.0,0.0,0.0
5,validation,validation_ADE_val_00000389_t3_crop0,validation_ADE_val_00000389,validation_ADE_val_00000389_t3,2,107,256,214,512,dark green tree foliage with dense canopy,dense green grass with scattered shadows,5.png,5.png,5.png,1.0,0.0,0.0
6,validation,validation_ADE_val_00000394_t0_crop0,validation_ADE_val_00000394,validation_ADE_val_00000394_t0,2,166,64,332,128,rough dark rock face with vertical striations,smooth wet sandy riverbed with swirling patterns,6.png,6.png,6.png,1.0,0.0,0.0
7,validation,validation_ADE_val_00000394_t0_crop1,validation_ADE_val_00000394,validation_ADE_val_00000394_t0,1,225,223,225,223,rough dark rock face with vertical striations,smooth wet sandy riverbed with swirling patterns,7.png,7.png,7.png,0.9976482311908321,0.00025909317389138014,0.0020926756352765323
8,validation,validation_ADE_val_00000402_t0_crop0,validation_ADE_val_00000402,validation_ADE_val_00000402_t0,1,503,272,503,272,dense green grass with scattered shadows,large leafy tree canopy with textured foliage,8.png,8.png,8.png,0.9660785288270378,0.000219272599695942,0.033702198573266284
9,validation,validation_ADE_val_00000625_t0_crop0,validation_ADE_val_00000625,validation_ADE_val_00000625_t0,2,157,124,314,248,dense green grass with scattered shadows,calm murky water with floating plants,9.png,9.png,9.png,1.0,0.0,0.0
10,validation,validation_ADE_val_00000625_t0_crop1,validation_ADE_val_00000625,validation_ADE_val_00000625_t0,2,256,80,512,160,dense green grass with scattered shadows,calm murky water with floating plants,10.png,10.png,10.png,1.0,0.0,0.0
11,validation,validation_ADE_val_00000625_t0_crop2,validation_ADE_val_00000625,validation_ADE_val_00000625_t0,2,132,144,264,288,dense green grass with scattered shadows,calm murky water with floating plants,11.png,11.png,11.png,1.0,0.0,0.0
12,validation,validation_ADE_val_00000625_t1_crop0,validation_ADE_val_00000625,validation_ADE_val_00000625_t1,2,256,133,512,266,dense green grass with scattered shadows,rough weathered stone with visible cracks,12.png,12.png,12.png,1.0,0.0,0.0
13,validation,validation_ADE_val_00000625_t1_crop1,validation_ADE_val_00000625,validation_ADE_val_00000625_t1,2,82,138,164,276,dense green grass with scattered shadows,rough weathered stone with visible cracks,13.png,13.png,13.png,1.0,0.0,0.0
14,validation,validation_ADE_val_00000733_t0_crop0,validation_ADE_val_00000733,validation_ADE_val_00000733_t0,1,566,291,566,291,rough sandstone arch with layered striations,dense green shrubbery with textured foliage,14.png,14.png,14.png,0.9656843102254927,2.4285696938787902e-05,0.03429140407756852
15,validation,validation_ADE_val_00000733_t0_crop1,validation_ADE_val_00000733,validation_ADE_val_00000733_t0,2,104,256,208,512,rough sandstone arch with layered striations,dense green shrubbery with textured foliage,15.png,15.png,15.png,1.0,0.0,0.0
16,validation,validation_ADE_val_00000918_t0_crop0,validation_ADE_val_00000918,validation_ADE_val_00000918_t0,2,132,132,264,264,wet dark volcanic rock with moss patches,lush green foliage with dense leaves,16.png,16.png,16.png,1.0,0.0,0.0
17,validation,validation_ADE_val_00000918_t0_crop1,validation_ADE_val_00000918,validation_ADE_val_00000918_t0,1,200,506,200,506,wet dark volcanic rock with moss patches,lush green foliage with dense leaves,17.png,17.png,17.png,0.9771442687747035,0.00015810276679841898,0.022697628458498025
18,validation,validation_ADE_val_00000918_t0_crop2,validation_ADE_val_00000918,validation_ADE_val_00000918_t0,2,256,129,512,258,wet dark volcanic rock with moss patches,lush green foliage with dense leaves,18.png,18.png,18.png,1.0,0.0,0.0
19,validation,validation_ADE_val_00000918_t0_crop3,validation_ADE_val_00000918,validation_ADE_val_00000918_t0,2,104,256,208,512,wet dark volcanic rock with moss patches,lush green foliage with dense leaves,19.png,19.png,19.png,1.0,0.0,0.0
20,validation,validation_ADE_val_00000918_t0_crop4,validation_ADE_val_00000918,validation_ADE_val_00000918_t0,2,172,168,344,336,wet dark volcanic rock with moss patches,lush green foliage with dense leaves,20.png,20.png,20.png,1.0,0.0,0.0
21,validation,validation_ADE_val_00000975_t0_crop0,validation_ADE_val_00000975,validation_ADE_val_00000975_t0,2,209,92,418,184,snow-covered mountain slope with sparse trees,dark reflective water surface with tree reflections,21.png,21.png,21.png,1.0,0.0,0.0
22,validation,validation_ADE_val_00000980_t0_crop0,validation_ADE_val_00000980,validation_ADE_val_00000980_t0,2,256,131,512,262,wet sandy beach with small ripples,green grassy dune with scattered shadows,22.png,22.png,22.png,1.0,0.0,0.0
23,validation,validation_ADE_val_00000986_t1_crop0,validation_ADE_val_00000986,validation_ADE_val_00000986_t1,2,136,104,272,208,dense green grass with scattered shadows,damp brown earth with sparse vegetation,23.png,23.png,23.png,1.0,0.0,0.0
24,validation,validation_ADE_val_00000986_t2_crop0,validation_ADE_val_00000986,validation_ADE_val_00000986_t2,2,250,86,500,172,damp brown earth with sparse vegetation,rough weathered stone with visible cracks,24.png,24.png,24.png,1.0,0.0,0.0
25,validation,validation_ADE_val_00001112_t0_crop0,validation_ADE_val_00001112,validation_ADE_val_00001112_t0,2,110,102,220,204,smooth wet sandy ground with ripples,dense green grass with scattered shadows,25.png,25.png,25.png,1.0,0.0,0.0
26,validation,validation_ADE_val_00001193_t2_crop0,validation_ADE_val_00001193,validation_ADE_val_00001193_t2,2,256,142,512,284,light beige ground with sparse grass,dense green grass with scattered shadows,26.png,26.png,26.png,1.0,0.0,0.0
27,validation,validation_ADE_val_00001193_t2_crop1,validation_ADE_val_00001193,validation_ADE_val_00001193_t2,2,256,191,512,382,light beige ground with sparse grass,dense green grass with scattered shadows,27.png,27.png,27.png,1.0,0.0,0.0
28,validation,validation_ADE_val_00001261_t1_crop0,validation_ADE_val_00001261,validation_ADE_val_00001261_t1,2,147,72,294,144,smooth wet sandy ground with ripples,calm deep blue ocean water,28.png,28.png,28.png,1.0,0.0,0.0
29,validation,validation_ADE_val_00001326_t0_crop0,validation_ADE_val_00001326,validation_ADE_val_00001326_t0,2,167,192,334,384,rough gray stone with mossy patches,green grass with scattered shadows,29.png,29.png,29.png,1.0,0.0,0.0
30,validation,validation_ADE_val_00001445_t1_crop0,validation_ADE_val_00001445,validation_ADE_val_00001445_t1,1,234,285,234,285,dense green grass with scattered shadows,calm dark water reflecting sky,30.png,30.png,30.png,0.9871944819313241,0.0001349527665317139,0.012670565302144249
31,validation,validation_ADE_val_00001490_t0_crop0,validation_ADE_val_00001490,validation_ADE_val_00001490_t0,2,256,101,512,202,smooth wet sandy ground with ripples,rough weathered stone with visible cracks,31.png,31.png,31.png,1.0,0.0,0.0
32,validation,validation_ADE_val_00001490_t0_crop1,validation_ADE_val_00001490,validation_ADE_val_00001490_t0,2,121,64,242,128,smooth wet sandy ground with ripples,rough weathered stone with visible cracks,32.png,32.png,32.png,1.0,0.0,0.0
33,validation,validation_ADE_val_00001490_t0_crop2,validation_ADE_val_00001490,validation_ADE_val_00001490_t0,2,82,154,164,308,smooth wet sandy ground with ripples,rough weathered stone with visible cracks,33.png,33.png,33.png,1.0,0.0,0.0
34,validation,validation_ADE_val_00001490_t0_crop3,validation_ADE_val_00001490,validation_ADE_val_00001490_t0,2,256,104,512,208,smooth wet sandy ground with ripples,rough weathered stone with visible cracks,34.png,34.png,34.png,1.0,0.0,0.0
35,validation,validation_ADE_val_00001490_t1_crop0,validation_ADE_val_00001490,validation_ADE_val_00001490_t1,2,200,121,400,242,rough weathered stone with visible cracks,smooth dark water surface with gentle ripples,35.png,35.png,35.png,1.0,0.0,0.0
36,validation,validation_ADE_val_00001543_t0_crop0,validation_ADE_val_00001543,validation_ADE_val_00001543_t0,2,124,76,248,152,rough weathered stone with visible cracks,dry sparse grass with scattered shadows,36.png,36.png,36.png,1.0,0.0,0.0
37,validation,validation_ADE_val_00001552_t1_crop0,validation_ADE_val_00001552,validation_ADE_val_00001552_t1,2,183,101,366,202,calm blue water reflecting sky and peaks,dark shadowed forested mountain slope,37.png,37.png,37.png,1.0,0.0,0.0
38,validation,validation_ADE_val_00001552_t1_crop1,validation_ADE_val_00001552,validation_ADE_val_00001552_t1,2,144,96,288,192,calm blue water reflecting sky and peaks,dark shadowed forested mountain slope,38.png,38.png,38.png,1.0,0.0,0.0
39,validation,validation_ADE_val_00001553_t1_crop0,validation_ADE_val_00001553,validation_ADE_val_00001553_t1,2,64,104,128,208,dense green grass with scattered shadows,sparse brownish vegetation with thin stalks,39.png,39.png,39.png,1.0,0.0,0.0
40,validation,validation_ADE_val_00001553_t1_crop1,validation_ADE_val_00001553,validation_ADE_val_00001553_t1,2,185,204,370,408,dense green grass with scattered shadows,sparse brownish vegetation with thin stalks,40.png,40.png,40.png,1.0,0.0,0.0
